Session_Connection_Time,Bytes_Transferred,Servers_Corrupted,Pages_Corrupted,WPM_Typing_Speed,bytes_per_min,pages_per_min,servers_per_min,cluster,Location
8.0,391.09,2.96,7.0,72.37,48.88625,0.875,0.37,0,Slovenia
20.0,720.99,3.04,9.0,69.08,36.0495,0.45,0.152,0,British Virgin Islands
31.0,356.32,3.71,8.0,70.58,11.494193548387097,0.25806451612903225,0.11967741935483871,0,Tokelau
2.0,228.08,2.48,8.0,70.8,114.04,4.0,1.24,0,Bolivia
20.0,408.5,3.57,8.0,71.28,20.425,0.4,0.1785,0,Iraq
1.0,390.69,2.79,9.0,71.57,390.69,9.0,2.79,0,Marshall Islands
18.0,342.97,5.1,7.0,72.32,19.053888888888892,0.3888888888888889,0.2833333333333333,0,Georgia
22.0,101.61,3.03,7.0,72.03,4.618636363636363,0.3181818181818182,0.13772727272727273,0,Timor-Leste
15.0,275.53,3.53,8.0,70.17,18.368666666666666,0.5333333333333333,0.2353333333333333,0,Palestinian Territory
12.0,424.83,2.53,8.0,69.99,35.402499999999996,0.6666666666666666,0.21083333333333332,0,Bangladesh
15.0,249.09,3.39,9.0,70.77,16.606,0.6,0.226,0,Northern Mariana Islands
32.0,242.48,4.24,8.0,67.93,7.5775,0.25,0.1325,0,Zimbabwe
23.0,514.54,3.18,8.0,68.56,22.371304347826086,0.34782608695652173,0.1382608695652174,0,Isle of Man
9.0,284.77,3.12,9.0,70.82,31.64111111111111,1.0,0.3466666666666667,0,Sao Tome and Principe
27.0,779.25,2.37,8.0,72.73,28.86111111111111,0.2962962962962963,0.08777777777777779,0,Greece
12.0,307.31,3.22,7.0,67.95,25.609166666666667,0.5833333333333334,0.26833333333333337,0,Solomon Islands
21.0,355.94,2.0,7.0,72.0,16.94952380952381,0.3333333333333333,0.09523809523809523,0,Guinea-Bissau
10.0,372.65,3.33,7.0,69.19,37.265,0.7,0.333,0,Burkina Faso
20.0,347.23,2.33,7.0,70.41,17.3615,0.35,0.1165,0,Mongolia
22.0,456.57,1.52,8.0,69.35,20.75318181818182,0.36363636363636365,0.06909090909090909,0,Nigeria
25.0,582.03,3.29,7.0,69.85,23.2812,0.28,0.1316,0,Kazakhstan
19.0,67.17,3.25,7.0,69.73,3.535263157894737,0.3684210526315789,0.17105263157894737,0,Faroe Islands
16.0,410.08,3.07,8.0,68.49,25.63,0.5,0.191875,0,Lebanon
18.0,393.15,2.25,8.0,70.87,21.841666666666665,0.4444444444444444,0.125,0,Guyana
34.0,11.04,2.31,8.0,72.0,0.3247058823529412,0.23529411764705882,0.06794117647058824,0,Botswana
30.0,309.84,3.8,9.0,70.98,10.328,0.3,0.12666666666666665,0,Zambia
20.0,415.39,3.47,7.0,69.98,20.7695,0.35,0.17350000000000002,0,Mexico
23.0,537.94,2.96,7.0,68.74,23.388695652173915,0.30434782608695654,0.12869565217391304,0,Mongolia
21.0,206.31,2.75,8.0,68.82,9.824285714285715,0.38095238095238093,0.13095238095238096,0,Gibraltar
20.0,192.85,2.21,8.0,73.1,9.6425,0.4,0.1105,0,Bhutan
28.0,311.81,2.05,8.0,69.29,11.136071428571428,0.2857142857142857,0.0732142857142857,0,Mayotte
19.0,429.56,2.95,8.0,68.94,22.60842105263158,0.42105263157894735,0.15526315789473685,0,Guernsey
19.0,472.38,1.54,8.0,70.82,24.862105263157893,0.42105263157894735,0.08105263157894738,0,Saint Barthelemy
26.0,607.31,1.55,7.0,72.2,23.358076923076922,0.2692307692307692,0.05961538461538462,0,Cambodia
18.0,566.97,2.82,7.0,71.37,31.498333333333335,0.3888888888888889,0.15666666666666665,0,Tuvalu
33.0,364.88,3.52,7.0,74.24,11.056969696969697,0.21212121212121213,0.10666666666666667,0,Philippines
21.0,169.89,4.78,9.0,67.93,8.09,0.42857142857142855,0.22761904761904764,0,Armenia
20.0,287.06,1.71,8.0,71.75,14.353,0.4,0.08549999999999999,0,Nicaragua
29.0,225.58,3.4,8.0,71.25,7.778620689655173,0.27586206896551724,0.11724137931034483,0,Mauritania
16.0,522.88,3.71,8.0,72.74,32.68,0.5,0.231875,0,Algeria
21.0,337.15,3.9,8.0,71.47,16.054761904761904,0.38095238095238093,0.18571428571428572,0,Azerbaijan
15.0,275.09,2.5,9.0,72.95,18.339333333333332,0.6,0.16666666666666666,0,Algeria
20.0,60.16,3.81,8.0,69.97,3.008,0.4,0.1905,0,Sri Lanka
23.0,358.54,2.25,8.0,73.1,15.588695652173914,0.34782608695652173,0.09782608695652174,0,Nauru
8.0,231.64,2.97,8.0,67.08,28.955,1.0,0.37125,0,Palestinian Territory
22.0,274.24,2.1,8.0,68.81,12.465454545454547,0.36363636363636365,0.09545454545454546,0,Heard Island and McDonald Islands
29.0,372.86,1.77,8.0,70.63,12.857241379310345,0.27586206896551724,0.06103448275862069,0,Mauritania
20.0,710.55,3.71,8.0,70.37,35.527499999999996,0.4,0.1855,0,Christmas Island
16.0,89.49,1.8,8.0,74.92,5.593125,0.5,0.1125,0,Holy See (Vatican City State)
11.0,447.05,2.67,7.0,69.95,40.64090909090909,0.6363636363636364,0.2427272727272727,0,Haiti
15.0,628.38,2.9,8.0,71.81,41.892,0.5333333333333333,0.19333333333333333,0,Japan
9.0,430.16,3.41,9.0,72.26,47.79555555555556,1.0,0.3788888888888889,0,Syrian Arab Republic
2.0,343.1,2.74,8.0,70.64,171.55,4.0,1.37,0,Albania
13.0,416.9,2.76,8.0,71.63,32.06923076923077,0.6153846153846154,0.21230769230769228,0,United States Virgin Islands
9.0,549.52,5.11,9.0,70.4,61.05777777777777,1.0,0.5677777777777778,0,Guernsey
25.0,369.0,3.05,7.0,70.68,14.76,0.28,0.122,0,Israel
22.0,184.63,3.45,8.0,68.27,8.392272727272728,0.36363636363636365,0.15681818181818183,0,Czech Republic
7.0,10.0,3.71,8.0,70.09,1.4285714285714286,1.1428571428571428,0.53,0,Sri Lanka
21.0,270.53,4.2,8.0,70.28,12.88238095238095,0.38095238095238093,0.2,0,Bhutan
18.0,385.3,3.3,9.0,68.36,21.405555555555555,0.5,0.18333333333333332,0,Malaysia
4.0,295.79,2.75,8.0,73.15,73.9475,2.0,0.6875,0,Maldives
15.0,322.91,2.72,7.0,69.02,21.527333333333335,0.4666666666666667,0.18133333333333335,0,Norway
16.0,316.42,3.39,9.0,70.89,19.77625,0.5625,0.211875,0,South Africa
12.0,538.03,3.03,8.0,71.55,44.83583333333333,0.6666666666666666,0.2525,0,Afghanistan
13.0,252.2,3.54,8.0,67.69,19.4,0.6153846153846154,0.2723076923076923,0,Australia
9.0,281.56,2.04,9.0,71.7,31.284444444444446,1.0,0.22666666666666668,0,Saint Kitts and Nevis
14.0,110.81,3.1,8.0,70.93,7.915,0.5714285714285714,0.22142857142857145,0,Jamaica
26.0,361.16,3.62,8.0,69.49,13.890769230769232,0.3076923076923077,0.13923076923076924,0,Tajikistan
28.0,179.55,2.4,8.0,70.57,6.4125000000000005,0.2857142857142857,0.08571428571428572,0,Azerbaijan
17.0,499.16,3.75,6.0,69.75,29.36235294117647,0.35294117647058826,0.22058823529411764,0,Moldova
10.0,273.77,2.64,7.0,71.15,27.377,0.7,0.264,0,Lebanon
